2019-04-27,22:23:24,704
2019-04-27,22:23:25,704
2019-04-27,22:23:26,704
2019-04-27,22:23:27,501
2019-04-27,22:23:28,502
2019-04-27,22:23:29,605
2019-04-27,22:23:30,695
2019-04-27,22:23:31,702
2019-04-27,22:23:32,655
2019-04-27,22:23:33,503
2019-04-27,22:23:34,494
2019-04-27,22:23:35,493
2019-04-27,22:23:36,491
2019-04-27,22:23:37,488
2019-04-27,22:23:38,224
2019-04-27,22:23:39,223
2019-04-27,22:23:40,224
2019-04-27,22:23:41,226
2019-04-27,22:23:42,227
2019-04-27,22:23:43,222
2019-04-27,22:23:44,228
2019-04-27,22:23:45,225
2019-04-27,22:23:46,231
2019-04-27,22:23:47,226
2019-04-27,22:23:48,221
2019-04-27,22:23:49,224
2019-04-27,22:23:50,484
2019-04-27,22:23:51,489
2019-04-27,22:23:53,489
2019-04-27,22:23:53,490
2019-04-27,22:23:54,490
2019-04-27,22:23:55,490
2019-04-27,22:23:57,490
2019-04-27,22:23:58,490
2019-04-27,22:23:59,490
2019-04-27,22:24:00,490
2019-04-27,22:24:01,490
2019-04-27,22:24:02,490
2019-04-27,22:24:03,490
2019-04-27,22:24:04,492
2019-04-27,22:24:05,705
2019-04-27,22:24:06,705
2019-04-27,22:24:07,705
2019-04-27,22:24:08,705
2019-04-27,22:24:09,705
2019-04-27,22:24:10,705
2019-04-27,22:24:11,705
2019-04-27,22:24:12,705
2019-04-27,22:24:13,705
2019-04-27,22:24:14,705
2019-04-27,22:24:15,705
2019-04-27,22:24:16,705
2019-04-27,22:24:17,705
2019-04-27,22:24:18,704
2019-04-27,22:24:19,705
2019-04-27,22:24:20,705
2019-04-27,22:24:21,705
